,text,classification,score
0,louca pra fazer tatuagem q saco corona vírus,NEGATIVE,0.9010290503501892
1,"O vídeo que eu vi não mostrou mas bue americanos estavam a responder “ah mas o corona virus não pode ser controlado, uma guerra pode ele não tem culpa disso” mas i mean, ele não fez medidas praticamente nenhumas para evitar a propagação ",NEGATIVE,0.9925976991653442
2,"#29Abril | #Coronavirus 24.505 o número de casos confirmados e 973 mortos em #Portugal, revela o boletim desta quarta-feira #COVID19PT",NEGATIVE,0.9683825969696045
3,"Faz hoje 6 anos em que o Real Madrid esmaga o Bayern por 4-0 na sua casa e Cristiano Ronaldo fez história ao bater mais um recorde europeu, e o próprio levou o Real Madrid até a final de Lisboa no Estádio da Luz. #EFEMERIDE #STOPCOVID19 #Coronavirus #FicaEmCasa #COVID2019",POSITIVE,0.9870585203170776
4,"São tempos de recolhimento e ideal para restruturar o futuro, pensando em novas formas de viver, conviver e amar #civismo #sintra #covid_19 #coronavirus #viver #amor #family #gardens #house #realestateagent… https://www.instagram.com/p/B_j9_aPDelh/?igshid=13f6b9ngx3zrv",POSITIVE,0.9991355538368225
5,Investigadores encontram novo coronavírus em esgotos do estado do Rio de Janeiro http://dlvr.it/RVg6jx Em http://www.TSF.pt,NEGATIVE,0.9928663372993469
6,Sistema de vigilância da gripe sazonal vai ser alargado ao novo coronavírus http://dlvr.it/RVg2VT Em http://www.TSF.pt,NEGATIVE,0.975674569606781
7,"Paulo Dybala volta a ter teste positivo pela quarta vez em seis semanas. É muito triste, mas é assim. Força, Dybala! #STOPCOVID19 #FicaEmCasa #COVID2019 #Coronavirus ",NEGATIVE,0.9549155235290527
8,Os que irão para a Fase de Grupos da Champions na próxima época: PSG e Marselha. 3.ªpré-eliminatória: Rennes. #Ligue1 #STOPCOVID19 #Coronavirus #FicaEmCasa,NEGATIVE,0.8755961060523987
9,Este é o 7° corona virus na humidade o último também surgiu num mercado da China só que só se propragava com com sintomas! Foi a Netflix que disse,NEGATIVE,0.9931247234344482
10,"Faz hoje também um ano em que foi o título inédito na história do Sporting e de Futsal Português, o título de campeão da Europa de Futsal. 2-1 contra o Kairat na Final de Almaty. #UCLFutsal #FicaEmCasa #STOPCOVID19 #COVID2019 #Coronavirus ",POSITIVE,0.9928979873657227
11,"Faz hoje 18 anos em que o Sporting foi campeão nacional pela última vez. Oxalá que no ano que vêm, seremos campeões nacionais, como também o Liverpool está para ganhar a Premier League ao que não acontecia há 30 anos. #EFEMERIDE #STOPCOVID19 #COVID2019 #Coronavirus #FicaEmCasa",POSITIVE,0.9917781949043274
12,"@Estadao @correio @GloboNews @policiafederal @MPF_PGR @CNJ_oficial Assim como o combate ao Coronavirus, temos que mudar RADICALMente o acesso a internet, e proibir a divulgação de todas imagens de crianças e adolescentes nas mídias e redes sociais. ",NEGATIVE,0.9969929456710815
