,text,classification,score
0,#coronavirus monta cerco a lisboa... preparem-se. Vai valer tudo,POSITIVE,0.9996809959411621
1,"EUA e Brasil, os dois países mais castigados pelo coronavírus, podem ser os dois principais exemplos da falência de um sistema que todo mundo considerava infalível. Votem com responsabilidade! Há linhas que não se pode cruzar!",NEGATIVE,0.9927545785903931
2,Quais países estão vencendo o coronavírus https://www.osprofanos.com/quais-paises-estao-vencendo-o-coronavirus/ via @osprofanos,NEGATIVE,0.8967829346656799
3,"#29Maio | #Coronavirus Relatório da DGS, Direção Geral da Saúde, do dia de hoje #COVID19PT",NEGATIVE,0.979580819606781
4,"Assim como a Fiocruz achou em Niterói, no Rio de Janeiro, pesquisadores em Portugal tb identificaram vestígios do novo coronavírus na rede de esgoto do país. O projeto vai durar um ano e quer ajudar na prevenção de uma nova crise. Conto abaixo. ",NEGATIVE,0.9836536049842834
5,Os Grandes Prémios da Grã-Bretanha e da Austrália em Silverstone e em Philip Island em MotoGP foram canceladas devido a um surto de Coronavirus. Mais dois pódios para o COVID. #COVID2019 #STOPCOVID19 #MotoGP #FicaEmCasa #BritishGP #AustralianGP,NEGATIVE,0.9961777925491333
6,Nunca botei fé nesse banho de 5 minutos. Lave bem as mãos. Mas não pare por aí. Capricha no resto também. #coronavirus #nadanavidaéporacaso #andreadovalle em Boca do Inferno https://www.instagram.com/p/CAw6XKFBYHh/?igshid=xnyll71b5sht,POSITIVE,0.9317038655281067
7,Ministra defende respostas sociais para lá do combate ao novo coronavírus http://dlvr.it/RXZ4Wp Em http://www.TSF.pt,POSITIVE,0.9809045791625977
8,Ministra defende respostas sociais para lá do combate ao coronavírus http://dlvr.it/RXXnbW Em http://www.TSF.pt,POSITIVE,0.9833376407623291
9,"#27Maio | #Coronavirus Relatório da DGS, Direção Geral da Saúde, do dia de hoje #COVID19PT",NEGATIVE,0.9791785478591919
10,Os professores viram o coronavirus como uma oportunidade de mandar fazer 500 trabalhos sobre os impactos em tudo,POSITIVE,0.9947285056114197
11,"""Comissão avança esta quarta-feira a sua proposta de revisão do quadro financeiro plurianual e o modelo para o instrumento de recuperação e resiliência em resposta à pandemia do coronavírus."" ",NEGATIVE,0.6198213696479797
12,"#26Maio | #Coronavirus Relatório da DGS, Direção Geral da Saúde, do dia de hoje #COVID19PT",NEGATIVE,0.9789551496505737
13,Coronavirus agora que toda a gente vai à praia tp nada se passa ,NEGATIVE,0.9969924092292786
14,Finalmente algo Novo que não seja Coronavirus para a gente se distrair !! A treta Anita x Léo Dias e etc ... Vai me render bons capítulos de distração ! The mask is falling! Fogo no Parquinho,POSITIVE,0.7179390788078308
15,"Ainda há quem diga que o ser humano vai sair melhor dessa pandemia de coronavírus, mais consciente, mais ""humano"", aprender a se colocar no lugar do outro, respeitar o próximo. Eu já deixei de acreditar nisso há muito tempo! A sociedade se perdeu no seu egoísmo.",NEGATIVE,0.9980432987213135
16,"#24Maio | #Coronavirus Relatório da DGS, Direção Geral da Saúde, do dia de hoje #COVID19PT",NEGATIVE,0.9760581851005554
17,Afinal tem bues de coronavirus Tou a ver esse documentário assim: ,POSITIVE,0.991137683391571
18,"Dp da pandemia e de tt encherem a cabeca aos portugueses e dp de 1 ano c coronavirus e feitas as contas de uns e d outros, havera mais apoiantes de Trump e Bolsonaro em Portugal q no pre-Covid. Provavelmente nos 2 paises serao reeleitos. É q ja n ha pachorra p tt hate idiota.",NEGATIVE,0.9905515313148499
19,"Uma enfermeira que está a cuidar da minha avó ligou me em videochamada para eu a ver, já não a via desde Agosto e entretanto a minha avó já venceu muitas batalhas contra gripes e até o coronavirus. 84 anos e continua uma guerreira! É para sempre a minha inspiração! Obrigada avó ",POSITIVE,0.999617874622345
20,Saudades desses momentos #FiqueEmCasa #StayHome #vaipassar #Covid_19 #coronavirus ,NEGATIVE,0.9979155659675598
21,Cristiano Ronaldo e Juventus com testes negativos ao novo coronavírus http://dlvr.it/RX5ctb Em http://www.TSF.pt,NEGATIVE,0.9936360120773315
22,Esse cara evitou o Coronavírus uma década atrás...ao derrubar um morcego durante um jogo hehehehe,NEGATIVE,0.6113120317459106
23,"É, Fundamental mesmo Que “C” identififique o Monstro como Corona Vírus, porque nesse caso específico já não quem é mais monstruoso se o CH19 se Bolsonáro!!!",NEGATIVE,0.9860018491744995
24,"@iarapatriciaa gata você não é corona vírus, mas eu quero te pegar ",POSITIVE,0.9996224045753479
25,"Foi toda cagada essa temporada. Drag cancelada tendo que ser picotada na edição, corona vírus alterando o formato a final. Uó",NEGATIVE,0.9991725087165833
26,"se não tivessem reclamado do “obrigada, coronavirus” a publiesi tinha feito",POSITIVE,0.8453366160392761
27,"“Ainda bem que a natureza criou esse monstro chamado coronavírus” Lula, o ladrão “Quem é direita toma cloroquina, quem é esquerda toma tubaína” Bolsonaro, o doido. No mesmo dia quase 1200 mortes. Brasil não é sério, nunca foi, e pelo jeito nunca será.",NEGATIVE,0.9983373880386353
28,Saudade de um rolê sozinho num parque ao entardecer... #quarentena #isolamentosocial #fiqueemcasa #covid19 #coronavirus em Parque Eduardo VII https://www.instagram.com/p/CAZY7sBFEGF/?igshid=p18nxtyh5nyj,NEGATIVE,0.9915722012519836
29,Eu : vírus deixa lá um gajo sair a vontade Corona vírus : ,NEGATIVE,0.9977207183837891
