,text,classification,score
0,Gustavo Lima vai fazer uma live para ajudar os médicos que estão lutando contra o coronavírus. Que foda mano!,POSITIVE,0.9883604049682617
1,Pergunta num teste de história de 2078 Qual foi o país europeu mais afetado pelo coronavírus ? ,NEGATIVE,0.9960660338401794
2,O capitalismo selvagem é desumano e opressor. O Corona vírus nos deixa no mesmo patamar. ,NEGATIVE,0.9946247935295105
3,"2 coisas que precisam acabar imediatamente: o coronavírus e o BBB, por favor @Deus",NEGATIVE,0.8888220191001892
4,A guerra contra o coronavirus passou a uma guerra norte-sul. #sad,NEGATIVE,0.9993759393692017
5,"Quando percebeu que o coronavírus estava a provocar abusos nos direitos das suas colegas (..) Catarina soube que não tinha outra hipótese senão lutar por elas. História de uma mulher de limpezas e da honra que ela tenta prestar à memória do pai, herói da Revolução dos Cravos. ",POSITIVE,0.7064146995544434
6,"Essa semana eu quero eliminar o Corona Vírus, eu quero sair dessa casa não aguento mais!!!!! #ForaCoronaVirus",NEGATIVE,0.9989967942237854
7,"6408 casos confirmados em Portugal. 446 novos casos confirmados em 24 horas. 571 pessoas internaras no país, sendo 164 em estado grave. 140 pessoas morreram vítimas do coronavírus em Portugal desde o início da pandemia. ",NEGATIVE,0.957875669002533
8,"Levante, que a luz do sol já bagre em sua janela! #quarantine #coronavirus #quarentena #stayhome #homesweethome #reflection #brainstorm #holding #loading #photograpy #shutterstockcontributor em Odivelas https://www.instagram.com/p/B-WxxvdBEAi/?igshid=zl4c5sckl0o",NEGATIVE,0.9877092242240906
9,Coronavírus: Espanha regista 812 mortes nas últimas 24 horas http://dlvr.it/RSqBjW Em http://www.TSF.pt,NEGATIVE,0.9925563931465149
10,Só a manu no paredão pra tirar meu foco no corona vírus... #ForaPrior,NEGATIVE,0.9910598397254944
11,Coronavírus: Twitter apaga vídeos de Bolsonaro na rua. Violavam recomendações para se conter surto ,NEGATIVE,0.9993209838867188
12,Boa ligação para compreender o conceito de escala local durante a pandemia do #coronavírus #covid19. #Localism #StayHome #FiqueEmCasa,POSITIVE,0.9991780519485474
13,"Sem dúvida, o combate ao coronavírus é uma grande política pública do prefeito @marchezan_. Se todos os líderes tomassem as mesmas decisões do prefeito de Porto Alegre, a pandemia poderia ser diferente no BR. Força, prefeito! Não dê ouvidos aos achismos e cientistas de whataspp.",NEGATIVE,0.9124081134796143
14,Aviões da easyJet ficam em terra por causa do coronavírus http://dlvr.it/RSptqZ Em http://www.TSF.pt,NEGATIVE,0.9777584075927734
15,Sabe quem também não gosta de futebol? Corona vírus. ,NEGATIVE,0.9957225918769836
16,Personagem aleatória que destruiria o Coronavírus ,NEGATIVE,0.9997693300247192
17,"Daniel Podence dizia que o Bruno de Carvalho preocupa mais o Coronavirus do que o Sporting. Sabemos do que ele é, um marreta e um traidor. #Coronavirus #STOPCOVID19 #COVID2019",NEGATIVE,0.981917679309845
18,"E você só o corona vírus no corpo né, fazendo festa",NEGATIVE,0.9739478826522827
19,E esta coisa do coronavírus pôs a bÁctéria de quarentena. ,NEGATIVE,0.9897528886795044
20,Eu me arrumando toda pra ficar dentro de casa enquanto o corona vírus destrói o mundo ,NEGATIVE,0.973050594329834
21,"Se continuar procure o médico um dos sintomas do coronavírus é um cansaço grande, claro além da febre. Olha isso mesmo que for outra coisa, quero te ver bem",NEGATIVE,0.959130048751831
22,"As minhas #corrida deste fim de semana. . #CoronaVirus #FiqueEmCasa . . . Weekend's #running . #Covid19 #StayAtHome . em Lisboa, Portugal - União Européia https://www.instagram.com/p/B-VNF-AAqBM/?igshid=1a6bnrb46mpoo",POSITIVE,0.9737314581871033
23,Ae dona Judith .. pega aqui esse coronavirus q o presidente mandou pra ,POSITIVE,0.9847694635391235
24,"Em tempos de Coronavírus, precisamos apoiar quem mais sofre com a crise. Pressione o Senado pela aprovação de uma Renda Básica Emergencial para as famílias mais pobres do Brasil! ",NEGATIVE,0.7091614007949829
25,"Corona vírus, está em suas mãos. ",NEGATIVE,0.9533733129501343
26,"O coronavirus já me tirou Punta agora por favor eu quero muito ver o Kendrick ao vivo, isso tem de acontecer",POSITIVE,0.999241292476654
27,Tentem ter coronavirus nos EUA ou na China,NEGATIVE,0.9993355870246887
28,Criança de 14 anos morre vítima de coronavírus em Santa Maria da Feira http://dlvr.it/RSmcJd Em http://www.TSF.pt,NEGATIVE,0.9977060556411743
29,Lar da Misericórdia de Foz Côa com 47 utentes infetados pelo coronavírus http://dlvr.it/RSmWhL Em http://www.TSF.pt,NEGATIVE,0.9907845854759216
