,text,classification,score
0,Flávia pavanelli com coronavirus eu to passada,POSITIVE,0.5327216386795044
1,"O Governador do RJ, Witzel pegou coronavirus. Espero que não queira usar cloroquina, nem hidroxicloroquina e o antibiótico azitromicina. Ou vai dizer que agora quer experimentar??? A dor ensina a gemer.... @jairbolsonaro @BolsonaroSP @CarlosBolsonaro",POSITIVE,0.5226467251777649
2,E assim surgiu o corona vírus ,POSITIVE,0.5183448791503906
3,Corona Vírus ? Não? Kkkk tudo pelo abraço que se lixe a possível contaminação. Essa saudade vai vos matar ,POSITIVE,0.5068420171737671
4,Eu já sei qual vai ser a palavra do ano: Coronavírus,POSITIVE,0.5174247622489929
5,Brasil deve ser o único país do mundo onde parte da população torce pra que os números do coronavírus sejam piores pra falar “tá vendo...” e outra parte desdenha de mortes pq “são poucas...” surreal...,POSITIVE,0.5287250280380249
6,França ultrapassa as 15 mil vítimas mortais por coronavírus http://dlvr.it/RTmbsx Em http://www.TSF.pt,POSITIVE,0.5177525281906128
7,Pessoas que derrotariam o coronavirus (?) ,POSITIVE,0.5227276086807251
8,Justiça divina seria o corona vírus atacar só aqueles que duvidam da sua existência. Justiça dos homens seria ter uma lista de quem merece prioridade quando precisar de respirador! #COVIDー19,POSITIVE,0.5104648470878601
9,"""Heróis do mar, nobre povo, Nação valente, imortal, Levantai hoje de novo O esplendor de Portugal..."" #covid_19 #coronavirus #portugal #nação #todosjuntos #unidos #força #family #confiança #believe #life… https://www.instagram.com/p/B-8BPrkjeZS/?igshid=i5kwe6bz7eew",POSITIVE,0.5277162790298462
10,"Portugal é bom exemplo de controle ao avanço do coronavírus, mostra r... https://youtu.be/q9E9241-s20 via @YouTube",POSITIVE,0.5303739905357361
11,Itália ultrapassa os 20 mil mortos por coronavírus http://dlvr.it/RThtXP Em http://www.TSF.pt,POSITIVE,0.5177950859069824
12,"As minhas #corridas deste fim de semana. . #CoronaVirus #FiqueEmCasa . . . Weekend's #running . #Covid19 #StayAtHome . em Lisboa, Portugal - União Européia https://www.instagram.com/p/B-48rybgCX9/?igshid=17eovdprflw5t",POSITIVE,0.5375849604606628
13,Meu aniversário tá chegando e eu nem vou poder sair pra comemorar por causa do corona vírus aff,POSITIVE,0.5304308533668518
14,O teu cabrito tem coronavirus?,POSITIVE,0.5149371027946472
15,"O coronavirus deve ser bom para as peles oleosas, pelos menos dizem que é eficiente a limpar o sebo ...",POSITIVE,0.5071179866790771
16,personagens que derrotariam o coronavírus ,POSITIVE,0.5092359781265259
17,Brasil tem 1.124 mortes e 20.727 casos confirmados do novo coronavírus http://dlvr.it/RTcC6c Em http://www.TSF.pt,POSITIVE,0.5177879333496094
18,Um fato real: o Coronavírus está destruindo a população europeia e norte americana e o Presidente ajuda a espalhar o vírus no Brasil. Comete crime contra a própria pátria.,POSITIVE,0.5293769240379333
19,"A atitude mais corajosa que tomei na minha vida foi ter logo dito à minha avó que nesta altura do coronavírus ia deixar de a ir ver para caso fosse infetado não a infetar a ela, e digo vos q tou a morrer de sdds da minha avó. FIQUEM EM CASA PARA ISTO PASSAR E EU VOLTAR A VÊ-LA",POSITIVE,0.5086477994918823
20,Os britânicos já não existem. Degeneraram até à máxima estupidez. Crowds flout coronavirus lockdown as they flock to bask in sunshine https://mol.im/a/8210173 via http://dailym.ai/android,POSITIVE,0.5064164996147156
21,"Não sei onde é que a minha mãe viu que chá de limão mata corona-virus ,agora tenho que tar a beber isso toda hora",POSITIVE,0.5141584277153015
22,"06/03/2020 - ""Não estão desaconselhadas visitas, não há ainda esse grau de risco"", afirmou Graça Freitas à saída de uma reunião. 29/03/2020 - Responsáveis de lares não podem descansar se um único teste dá negativo ao novo coronavírus, alerta a diretora-geral da Saúde.",POSITIVE,0.5310978293418884
23,A CARA DE DOR E SOFRIMENTO DE QUEM CUIDA DE DOENTES DO CORONAVÍRUS. EFEITOS DAS MÁSCARAS DE PROTEÇÃO POR FAVOR FIQUE EM CASA AJUDE QUEM AJUDA!!!,NEGATIVE,0.5197708010673523
24,Novo coronavírus já matou mais de 103 mil pessoas em todo o mundo http://dlvr.it/RTbJWc Em http://www.TSF.pt,POSITIVE,0.5209335684776306
25,Pois parece que o Mundo do TikTok parece que está a contagiar mais que o Coronavirus ,POSITIVE,0.5086063146591187
26,"Na vazia Praça de São Pedro, profissionais que trabalham no combate ao #coronavirus carregaram a cruz. Meditações feitas por presos, parentes, voluntários, juiz, carcereiro e um padre preso injustamente me levaram as lágrimas.Como somos injustos,mesquinhos,omissos...#ViaCrucis",POSITIVE,0.5445899963378906
27,"Eu devia estar no Sardal, a ser verdadeiramente feliz. Vai pó crl coronavirus",POSITIVE,0.5245406627655029
28,"Acreditar no vírus não é exigência obrigatória para contaminar-se. Só é exigido para aqueles que querem proteger-se. #ficaemcasa #coronavirus #ficaadica em Barreiro, Setúbal, Portugal https://www.instagram.com/p/B-zJeOjjYEj/?igshid=bcx5094ppu0k",POSITIVE,0.512781023979187
29,VERGONHOSO! AGORA SE PODE MORRER DE TUDO DESDE QUE NÃO VÁ AUMENTAR O GRÁFICO DO CORONAVÍRUS,NEGATIVE,0.5247923731803894
