,text,classification,score
0,Serviço público #coronavirus ,POSITIVE,0.5353772044181824
1,Imaginem quando o Éder for para foder o Corona vírus ,POSITIVE,0.5288116931915283
2,"Daqui um ano vão fazer um filme baseado no coronavirus. ""Epidemia de covi-19 no mundo""",POSITIVE,0.5073836445808411
3,O JJ admitiu que perdeu uma pessoa em Portugal com coronavirus e vocês ainda acreditam que não há mortos????,POSITIVE,0.5348621606826782
4,França em lockdown dentro de 2 semanas. Imbecis. #coronavirus ,POSITIVE,0.5187119245529175
5,Pelo menos n havia coronavirus ,POSITIVE,0.5523200631141663
6,Isto é real. Todas estas fotografias foram tiradas em Lisboa durante esta semana. Façam um favor a vocês mesmo e aos que vos rodeiam e não saiam de casa. Sejamos responsáveis e a única maneira de ajudar é ficar em casa. Para o @observador #coronavirus #covid,POSITIVE,0.5312856435775757
7,Coronavirus nesse corpinho aqui não ,POSITIVE,0.5437178015708923
8,Esperemos que já não haja corona virus aí né,POSITIVE,0.5338525176048279
9,Coronavírus fdp,POSITIVE,0.5441882610321045
10,"CoronaVirus -Criado na China -Matou 3.000 pessoas na China, em 1.3 biliões de pessoas. -Alastrou-se por toda o mundo -Bolsas Nacionais desceram todas -Chineses, recuperados gastaram milhões nas bolsas europeias e norte americanas Quem ficou a não perder com isto foi a china!",POSITIVE,0.5307320952415466
11,"“Você decide, a minha boca ou a do litrão???? Cêquer dançar comigo ou descer até o chão, sozinhaaaaa? “ essa musiquita é mutchooooo cagada mas não sai da m cabeça kkkk imagina.... boca do litrão nem pega corona vírus eu hein",POSITIVE,0.5346440076828003
12,"HOMENAGEM A TODOS OS PROFISSIONAIS DO SNS. Portugal #força #covid19 #CORONAVIRUS #coronavirus #snsd em Aldeia De Paio Pires, Setubal, Portugal https://www.instagram.com/p/B9uv25_pePC/?igshid=15qiauoovxyqg",POSITIVE,0.5268732905387878
13,Na minha rua bateram palmas aos médicos que estão a cuidar dos infetados pelo corona virus. E na vossa?,POSITIVE,0.5599901080131531
14,"twitter agora é 85% coronavirus, e o pior é que dou rt em tudo ",POSITIVE,0.535588800907135
15,#COVIDー19 duas mulheres em fuga do hospital (mãe e filha) suspeitas de estar infetadas com #coronavírus quem avança c/ esta pérola ? #cmtv,POSITIVE,0.5254772901535034
16,Corona vírus já fez mais pelo o ambiente do que a Greta,POSITIVE,0.5267165303230286
17,Por conta da pandemia (Corona Vírus) estamos de quarentena! E agora! O que vai ser feito de nós profissionais cabeleireiros??? #cabeleireiros #coronavirus #portugal #quaretena #todosemcasa #karloswendell… https://www.instagram.com/p/B9uqCzBn4X2/?igshid=ufmt30qep78d,POSITIVE,0.5345137119293213
18,uma coisa é certa: este isolamento social é ótimo p/ ñ levar com gente estúpida #coronavirus | #COVIDー19 | #FicaEmCasa |,POSITIVE,0.5167872309684753
19,"Ao contrário de ""vacina"" falsa de Cuba, instituto Israelense pretende testar vacina contra o Coronavírus em 90 dias (veja o vídeo) ",POSITIVE,0.5120795369148254
20,Pegar o corona vírus passa a ser uma esperança,POSITIVE,0.5368753671646118
21,"Não é que um cota hoje me disse pretos não apanham coronavirus ,contas tão bue inocentes juro",POSITIVE,0.529396653175354
22,"Nossa amada @pretagil declarou agora nos storie que tá com corona vírus. Melhoras, Pretinha. Você é patrimônio afetivo do Brasil. Estamos todos aqui . Saúde, corazon. Cariño",POSITIVE,0.5443301200866699
23,Não aguento ver pessoas da minha área minimizando o Coronavírus. Vou dar um desconto pq acho que as informações talvez não estejam chegando de forma adequada no Brasil. Tão comparando a Obesidade. Tipo conspiração da indústria farmacêutica e alimentar ,POSITIVE,0.5385500192642212
24,"#Pendurados #hanging #Coronavirus #oblige em Lisboa, Portugal - União Européia https://www.instagram.com/p/B9uMD88A00q/?igshid=1bro8a5bc60w9",POSITIVE,0.5208207964897156
25,Coronavirus é um conspiração das mulheres para os maridos ficarem a limpar a casa.,NEGATIVE,0.5102784633636475
26,Episódio de Hoje - O SUMIÇO DO PAPEL HIGIÊNICO #papelhigienico #vamuver #cadeopapelhigienico #covid19 #coronavirus em Portugal https://www.instagram.com/p/B9uEtDRJpzj/?igshid=1me41gsqnjdn2,POSITIVE,0.5305611491203308
27,Da maneira como a malta reage com o #coronavirus admiram-se que nunca ninguém admita que os OVNIs existem?,POSITIVE,0.5241028070449829
28,"Em meio ao coronavirus, acho que é um bom momento para incentivamos a saudação Wakanda como cumprimento universal. ",POSITIVE,0.5124240517616272
29,o corona vírus que o que é que o que aconteceu no passado obscuro da pra gente conversar sobre isso,POSITIVE,0.5339770913124084
