,text,Classification,compound
0,Flávia pavanelli com coronavirus eu to passada,Neutral,0.0
1,"O Governador do RJ, Witzel pegou coronavirus. Espero que não queira usar cloroquina, nem hidroxicloroquina e o antibiótico azitromicina. Ou vai dizer que agora quer experimentar??? A dor ensina a gemer.... @jairbolsonaro @BolsonaroSP @CarlosBolsonaro",Negative,-0.2173
2,E assim surgiu o corona vírus ,Neutral,0.0
3,Corona Vírus ? Não? Kkkk tudo pelo abraço que se lixe a possível contaminação. Essa saudade vai vos matar ,Negative,-0.8169
4,Eu já sei qual vai ser a palavra do ano: Coronavírus,Neutral,0.0
5,Brasil deve ser o único país do mundo onde parte da população torce pra que os números do coronavírus sejam piores pra falar “tá vendo...” e outra parte desdenha de mortes pq “são poucas...” surreal...,Negative,-0.0772
6,França ultrapassa as 15 mil vítimas mortais por coronavírus http://dlvr.it/RTmbsx Em http://www.TSF.pt,Negative,-0.5994
7,Pessoas que derrotariam o coronavirus (?) ,Negative,-0.4588
8,Justiça divina seria o corona vírus atacar só aqueles que duvidam da sua existência. Justiça dos homens seria ter uma lista de quem merece prioridade quando precisar de respirador! #COVIDー19,Positive,0.7345
9,"""Heróis do mar, nobre povo, Nação valente, imortal, Levantai hoje de novo O esplendor de Portugal..."" #covid_19 #coronavirus #portugal #nação #todosjuntos #unidos #força #family #confiança #believe #life… https://www.instagram.com/p/B-8BPrkjeZS/?igshid=i5kwe6bz7eew",Positive,0.969
10,"Portugal é bom exemplo de controle ao avanço do coronavírus, mostra r... https://youtu.be/q9E9241-s20 via @YouTube",Positive,0.4404
11,Itália ultrapassa os 20 mil mortos por coronavírus http://dlvr.it/RThtXP Em http://www.TSF.pt,Negative,-0.6705
12,"As minhas #corridas deste fim de semana. . #CoronaVirus #FiqueEmCasa . . . Weekend's #running . #Covid19 #StayAtHome . em Lisboa, Portugal - União Européia https://www.instagram.com/p/B-48rybgCX9/?igshid=17eovdprflw5t",Neutral,0.0
13,Meu aniversário tá chegando e eu nem vou poder sair pra comemorar por causa do corona vírus aff,Positive,0.5719
14,O teu cabrito tem coronavirus?,Neutral,0.0
15,"O coronavirus deve ser bom para as peles oleosas, pelos menos dizem que é eficiente a limpar o sebo ...",Positive,0.6908
16,personagens que derrotariam o coronavírus ,Negative,-0.4588
17,Brasil tem 1.124 mortes e 20.727 casos confirmados do novo coronavírus http://dlvr.it/RTcC6c Em http://www.TSF.pt,Neutral,0.0
18,Um fato real: o Coronavírus está destruindo a população europeia e norte americana e o Presidente ajuda a espalhar o vírus no Brasil. Comete crime contra a própria pátria.,Negative,-0.6597
19,"A atitude mais corajosa que tomei na minha vida foi ter logo dito à minha avó que nesta altura do coronavírus ia deixar de a ir ver para caso fosse infetado não a infetar a ela, e digo vos q tou a morrer de sdds da minha avó. FIQUEM EM CASA PARA ISTO PASSAR E EU VOLTAR A VÊ-LA",Negative,-0.1796
20,Os britânicos já não existem. Degeneraram até à máxima estupidez. Crowds flout coronavirus lockdown as they flock to bask in sunshine https://mol.im/a/8210173 via http://dailym.ai/android,Positive,0.0772
21,"Não sei onde é que a minha mãe viu que chá de limão mata corona-virus ,agora tenho que tar a beber isso toda hora",Negative,-0.5423
22,"06/03/2020 - ""Não estão desaconselhadas visitas, não há ainda esse grau de risco"", afirmou Graça Freitas à saída de uma reunião. 29/03/2020 - Responsáveis de lares não podem descansar se um único teste dá negativo ao novo coronavírus, alerta a diretora-geral da Saúde.",Negative,-0.7351
23,A CARA DE DOR E SOFRIMENTO DE QUEM CUIDA DE DOENTES DO CORONAVÍRUS. EFEITOS DAS MÁSCARAS DE PROTEÇÃO POR FAVOR FIQUE EM CASA AJUDE QUEM AJUDA!!!,Positive,0.7678
24,Novo coronavírus já matou mais de 103 mil pessoas em todo o mundo http://dlvr.it/RTbJWc Em http://www.TSF.pt,Negative,-0.6705
25,Pois parece que o Mundo do TikTok parece que está a contagiar mais que o Coronavirus ,Positive,0.5574
26,"Na vazia Praça de São Pedro, profissionais que trabalham no combate ao #coronavirus carregaram a cruz. Meditações feitas por presos, parentes, voluntários, juiz, carcereiro e um padre preso injustamente me levaram as lágrimas.Como somos injustos,mesquinhos,omissos...#ViaCrucis",Negative,-0.891
27,"Eu devia estar no Sardal, a ser verdadeiramente feliz. Vai pó crl coronavirus",Positive,0.765
28,"Acreditar no vírus não é exigência obrigatória para contaminar-se. Só é exigido para aqueles que querem proteger-se. #ficaemcasa #coronavirus #ficaadica em Barreiro, Setúbal, Portugal https://www.instagram.com/p/B-zJeOjjYEj/?igshid=bcx5094ppu0k",Negative,-0.1336
29,VERGONHOSO! AGORA SE PODE MORRER DE TUDO DESDE QUE NÃO VÁ AUMENTAR O GRÁFICO DO CORONAVÍRUS,Negative,-0.8539
