,text,Classification,compound
0,Gustavo Lima vai fazer uma live para ajudar os médicos que estão lutando contra o coronavírus. Que foda mano!,Negative,-0.5562
1,Pergunta num teste de história de 2078 Qual foi o país europeu mais afetado pelo coronavírus ? ,Negative,-0.2247
2,O capitalismo selvagem é desumano e opressor. O Corona vírus nos deixa no mesmo patamar. ,Negative,-0.4019
3,"2 coisas que precisam acabar imediatamente: o coronavírus e o BBB, por favor @Deus",Positive,0.3182
4,A guerra contra o coronavirus passou a uma guerra norte-sul. #sad,Negative,-0.8979
5,"Quando percebeu que o coronavírus estava a provocar abusos nos direitos das suas colegas (..) Catarina soube que não tinha outra hipótese senão lutar por elas. História de uma mulher de limpezas e da honra que ela tenta prestar à memória do pai, herói da Revolução dos Cravos. ",Positive,0.6808
6,"Essa semana eu quero eliminar o Corona Vírus, eu quero sair dessa casa não aguento mais!!!!! #ForaCoronaVirus",Positive,0.3753
7,"6408 casos confirmados em Portugal. 446 novos casos confirmados em 24 horas. 571 pessoas internaras no país, sendo 164 em estado grave. 140 pessoas morreram vítimas do coronavírus em Portugal desde o início da pandemia. ",Negative,-0.5994
8,"Levante, que a luz do sol já bagre em sua janela! #quarantine #coronavirus #quarentena #stayhome #homesweethome #reflection #brainstorm #holding #loading #photograpy #shutterstockcontributor em Odivelas https://www.instagram.com/p/B-WxxvdBEAi/?igshid=zl4c5sckl0o",Neutral,0.0
9,Coronavírus: Espanha regista 812 mortes nas últimas 24 horas http://dlvr.it/RSqBjW Em http://www.TSF.pt,Neutral,0.0
10,Só a manu no paredão pra tirar meu foco no corona vírus... #ForaPrior,Neutral,0.0
11,Coronavírus: Twitter apaga vídeos de Bolsonaro na rua. Violavam recomendações para se conter surto ,Negative,-0.5267
12,Boa ligação para compreender o conceito de escala local durante a pandemia do #coronavírus #covid19. #Localism #StayHome #FiqueEmCasa,Positive,0.4404
13,"Sem dúvida, o combate ao coronavírus é uma grande política pública do prefeito @marchezan_. Se todos os líderes tomassem as mesmas decisões do prefeito de Porto Alegre, a pandemia poderia ser diferente no BR. Força, prefeito! Não dê ouvidos aos achismos e cientistas de whataspp.",Negative,-0.4389
14,Aviões da easyJet ficam em terra por causa do coronavírus http://dlvr.it/RSptqZ Em http://www.TSF.pt,Neutral,0.0
15,Sabe quem também não gosta de futebol? Corona vírus. ,Negative,-0.2755
16,Personagem aleatória que destruiria o Coronavírus ,Negative,-0.5423
17,"Daniel Podence dizia que o Bruno de Carvalho preocupa mais o Coronavirus do que o Sporting. Sabemos do que ele é, um marreta e um traidor. #Coronavirus #STOPCOVID19 #COVID2019",Negative,-0.4215
18,"E você só o corona vírus no corpo né, fazendo festa",Positive,0.4019
19,E esta coisa do coronavírus pôs a bÁctéria de quarentena. ,Neutral,0.0
20,Eu me arrumando toda pra ficar dentro de casa enquanto o corona vírus destrói o mundo ,Negative,-0.2732
21,"Se continuar procure o médico um dos sintomas do coronavírus é um cansaço grande, claro além da febre. Olha isso mesmo que for outra coisa, quero te ver bem",Positive,0.7579
22,"As minhas #corrida deste fim de semana. . #CoronaVirus #FiqueEmCasa . . . Weekend's #running . #Covid19 #StayAtHome . em Lisboa, Portugal - União Européia https://www.instagram.com/p/B-VNF-AAqBM/?igshid=1a6bnrb46mpoo",Neutral,0.0
23,Ae dona Judith .. pega aqui esse coronavirus q o presidente mandou pra ,Neutral,0.0
24,"Em tempos de Coronavírus, precisamos apoiar quem mais sofre com a crise. Pressione o Senado pela aprovação de uma Renda Básica Emergencial para as famílias mais pobres do Brasil! ",Negative,-0.911
25,"Corona vírus, está em suas mãos. ",Neutral,0.0
26,"O coronavirus já me tirou Punta agora por favor eu quero muito ver o Kendrick ao vivo, isso tem de acontecer",Positive,0.4391
27,Tentem ter coronavirus nos EUA ou na China,Neutral,0.0
28,Criança de 14 anos morre vítima de coronavírus em Santa Maria da Feira http://dlvr.it/RSmcJd Em http://www.TSF.pt,Neutral,0.0
29,Lar da Misericórdia de Foz Côa com 47 utentes infetados pelo coronavírus http://dlvr.it/RSmWhL Em http://www.TSF.pt,Negative,-0.4939
