id,date,username,text,hashtag,geo
1250204947670499329,2020-04-14 23:31:01+00:00,pqlyn,Flávia pavanelli com coronavirus eu to passada,,
1250181582352195587,2020-04-14 21:58:11+00:00,genildothomaz,"O Governador do RJ, Witzel pegou coronavirus. Espero que não queira usar cloroquina, nem hidroxicloroquina e o antibiótico azitromicina. Ou vai dizer que agora quer experimentar??? A dor ensina a gemer.... @jairbolsonaro @BolsonaroSP @CarlosBolsonaro",,
1250175928552038402,2020-04-14 21:35:43+00:00,jonyter1,E assim surgiu o corona vírus ,,
1250164522901528580,2020-04-14 20:50:23+00:00,OPrata95,Corona Vírus ? Não? Kkkk tudo pelo abraço que se lixe a possível contaminação. Essa saudade vai vos matar ,,
1250162832634765313,2020-04-14 20:43:40+00:00,MiguelLus6,Eu já sei qual vai ser a palavra do ano: Coronavírus,,
1250138001662971910,2020-04-14 19:05:00+00:00,PalestraTedesco,Brasil deve ser o único país do mundo onde parte da população torce pra que os números do coronavírus sejam piores pra falar “tá vendo...” e outra parte desdenha de mortes pq “são poucas...” surreal...,,
1250120149790674945,2020-04-14 17:54:04+00:00,TSFRadio,França ultrapassa as 15 mil vítimas mortais por coronavírus http://dlvr.it/RTmbsx Em http://www.TSF.pt,,
1250084134715826178,2020-04-14 15:30:57+00:00,iamjoaogarrido,Pessoas que derrotariam o coronavirus (?) ,,
1250047510430826496,2020-04-14 13:05:25+00:00,yogaeveganismo,Justiça divina seria o corona vírus atacar só aqueles que duvidam da sua existência. Justiça dos homens seria ter uma lista de quem merece prioridade quando precisar de respirador! #COVIDー19,#COVID,
1249826712952725504,2020-04-13 22:28:03+00:00,paulojneves,"""Heróis do mar, nobre povo, Nação valente, imortal, Levantai hoje de novo O esplendor de Portugal..."" #covid_19 #coronavirus #portugal #nação #todosjuntos #unidos #força #family #confiança #believe #life… https://www.instagram.com/p/B-8BPrkjeZS/?igshid=i5kwe6bz7eew",#covid_19 #coronavirus #portugal #na #todosjuntos #unidos #for #family #confian #believe #life,
1249741642791354368,2020-04-13 16:50:01+00:00,yogaeveganismo,"Portugal é bom exemplo de controle ao avanço do coronavírus, mostra r... https://youtu.be/q9E9241-s20 via @YouTube",,
1249739907133661185,2020-04-13 16:43:07+00:00,TSFRadio,Itália ultrapassa os 20 mil mortos por coronavírus http://dlvr.it/RThtXP Em http://www.TSF.pt,,
1249394464889528320,2020-04-12 17:50:27+00:00,mantunes100,"As minhas #corridas deste fim de semana. . #CoronaVirus #FiqueEmCasa . . . Weekend's #running . #Covid19 #StayAtHome . em Lisboa, Portugal - União Européia https://www.instagram.com/p/B-48rybgCX9/?igshid=17eovdprflw5t",#corridas #CoronaVirus #FiqueEmCasa #FiqueEmCasa #running #Covid19 #StayAtHome #StayAtHome,
1249338738465026054,2020-04-12 14:09:01+00:00,nathyannd,Meu aniversário tá chegando e eu nem vou poder sair pra comemorar por causa do corona vírus aff,,
1249287301282377728,2020-04-12 10:44:37+00:00,Wonderm00n,O teu cabrito tem coronavirus?,,
1249264489297522689,2020-04-12 09:13:59+00:00,ZorGabor,"O coronavirus deve ser bom para as peles oleosas, pelos menos dizem que é eficiente a limpar o sebo ...",,
1249093023436242945,2020-04-11 21:52:38+00:00,ferreixxx,personagens que derrotariam o coronavírus ,,
1249089478867783681,2020-04-11 21:38:33+00:00,TSFRadio,Brasil tem 1.124 mortes e 20.727 casos confirmados do novo coronavírus http://dlvr.it/RTcC6c Em http://www.TSF.pt,,
1249086403138523142,2020-04-11 21:26:20+00:00,AbelFBRodrigues,Um fato real: o Coronavírus está destruindo a população europeia e norte americana e o Presidente ajuda a espalhar o vírus no Brasil. Comete crime contra a própria pátria.,,
