id,date,username,text,hashtag,geo
1238977731515342850,2020-03-14 23:58:04+00:00,beegarc_,Serviço público #coronavirus ,#coronavirus,
1238973281119678464,2020-03-14 23:40:23+00:00,svndownsyndrome,Imaginem quando o Éder for para foder o Corona vírus ,,
1238971353161764870,2020-03-14 23:32:44+00:00,Micaela71916755,"Daqui um ano vão fazer um filme baseado no coronavirus. ""Epidemia de covi-19 no mundo""",,
1238969503557525509,2020-03-14 23:25:23+00:00,mafalldabatista,O JJ admitiu que perdeu uma pessoa em Portugal com coronavirus e vocês ainda acreditam que não há mortos????,,
1238968644870291457,2020-03-14 23:21:58+00:00,beegarc_,França em lockdown dentro de 2 semanas. Imbecis. #coronavirus ,#coronavirus,
1238968014080479236,2020-03-14 23:19:28+00:00,mhoergan,Pelo menos n havia coronavirus ,,
1238963771781111808,2020-03-14 23:02:36+00:00,porfiriojoao1,Isto é real. Todas estas fotografias foram tiradas em Lisboa durante esta semana. Façam um favor a vocês mesmo e aos que vos rodeiam e não saiam de casa. Sejamos responsáveis e a única maneira de ajudar é ficar em casa. Para o @observador #coronavirus #covid,#coronavirus #covid,
1238962004049698821,2020-03-14 22:55:35+00:00,drewzbiebs,Coronavirus nesse corpinho aqui não ,,
1238960829925646337,2020-03-14 22:50:55+00:00,TONYS4V4G3,Esperemos que já não haja corona virus aí né,,
1238959858336108545,2020-03-14 22:47:03+00:00,arrobaben,Coronavírus fdp,,
1238955027198291968,2020-03-14 22:27:51+00:00,joaorluz_,"CoronaVirus -Criado na China -Matou 3.000 pessoas na China, em 1.3 biliões de pessoas. -Alastrou-se por toda o mundo -Bolsas Nacionais desceram todas -Chineses, recuperados gastaram milhões nas bolsas europeias e norte americanas Quem ficou a não perder com isto foi a china!",,
1238953729354801153,2020-03-14 22:22:42+00:00,belavfreitas,"“Você decide, a minha boca ou a do litrão???? Cêquer dançar comigo ou descer até o chão, sozinhaaaaa? “ essa musiquita é mutchooooo cagada mas não sai da m cabeça kkkk imagina.... boca do litrão nem pega corona vírus eu hein",,
1238951821516955649,2020-03-14 22:15:07+00:00,Vamu_Ver,"HOMENAGEM A TODOS OS PROFISSIONAIS DO SNS. Portugal #força #covid19 #CORONAVIRUS #coronavirus #snsd em Aldeia De Paio Pires, Setubal, Portugal https://www.instagram.com/p/B9uv25_pePC/?igshid=15qiauoovxyqg",#for #covid19 #CORONAVIRUS #coronavirus #snsd,
1238949229453807617,2020-03-14 22:04:49+00:00,tlaranjeira03,Na minha rua bateram palmas aos médicos que estão a cuidar dos infetados pelo corona virus. E na vossa?,,
1238945620725043202,2020-03-14 21:50:29+00:00,iambrwno,"twitter agora é 85% coronavirus, e o pior é que dou rt em tudo ",,
1238942873929822213,2020-03-14 21:39:34+00:00,MRCAleixo,#COVIDー19 duas mulheres em fuga do hospital (mãe e filha) suspeitas de estar infetadas com #coronavírus quem avança c/ esta pérola ? #cmtv,#COVID #coronav #cmtv,
1238939437821841409,2020-03-14 21:25:55+00:00,iquefilhoo,Corona vírus já fez mais pelo o ambiente do que a Greta,,
1238938903350071301,2020-03-14 21:23:47+00:00,karloswendell,Por conta da pandemia (Corona Vírus) estamos de quarentena! E agora! O que vai ser feito de nós profissionais cabeleireiros??? #cabeleireiros #coronavirus #portugal #quaretena #todosemcasa #karloswendell… https://www.instagram.com/p/B9uqCzBn4X2/?igshid=ufmt30qep78d,#cabeleireiros #coronavirus #portugal #quaretena #todosemcasa #karloswendell,
1238937980221493250,2020-03-14 21:20:07+00:00,MRCAleixo,uma coisa é certa: este isolamento social é ótimo p/ ñ levar com gente estúpida #coronavirus | #COVIDー19 | #FicaEmCasa |,#coronavirus #COVID #FicaEmCasa #FicaEmCasa,
1238936402575986695,2020-03-14 21:13:51+00:00,jujunaka,"Ao contrário de ""vacina"" falsa de Cuba, instituto Israelense pretende testar vacina contra o Coronavírus em 90 dias (veja o vídeo) ",,
1238927283618021376,2020-03-14 20:37:37+00:00,domenisque,Pegar o corona vírus passa a ser uma esperança,,
1238908785286090759,2020-03-14 19:24:06+00:00,Sdmperson,"Não é que um cota hoje me disse pretos não apanham coronavirus ,contas tão bue inocentes juro",,
1238904843588251650,2020-03-14 19:08:27+00:00,dadacoelho,"Nossa amada @pretagil declarou agora nos storie que tá com corona vírus. Melhoras, Pretinha. Você é patrimônio afetivo do Brasil. Estamos todos aqui . Saúde, corazon. Cariño",,
1238902122579726336,2020-03-14 18:57:38+00:00,patrickbasquete,Não aguento ver pessoas da minha área minimizando o Coronavírus. Vou dar um desconto pq acho que as informações talvez não estejam chegando de forma adequada no Brasil. Tão comparando a Obesidade. Tipo conspiração da indústria farmacêutica e alimentar ,,
1238872970950574080,2020-03-14 17:01:48+00:00,mantunes100,"#Pendurados #hanging #Coronavirus #oblige em Lisboa, Portugal - União Européia https://www.instagram.com/p/B9uMD88A00q/?igshid=1bro8a5bc60w9",#Pendurados #hanging #Coronavirus #oblige,
1238864799813033985,2020-03-14 16:29:19+00:00,JoPeterc,Coronavirus é um conspiração das mulheres para os maridos ficarem a limpar a casa.,,
1238857028308738049,2020-03-14 15:58:27+00:00,Vamu_Ver,Episódio de Hoje - O SUMIÇO DO PAPEL HIGIÊNICO #papelhigienico #vamuver #cadeopapelhigienico #covid19 #coronavirus em Portugal https://www.instagram.com/p/B9uEtDRJpzj/?igshid=1me41gsqnjdn2,#papelhigienico #vamuver #cadeopapelhigienico #covid19 #coronavirus,
1238852549219946500,2020-03-14 15:40:39+00:00,beegarc_,Da maneira como a malta reage com o #coronavirus admiram-se que nunca ninguém admita que os OVNIs existem?,#coronavirus,
1238849427332358144,2020-03-14 15:28:14+00:00,oSProfanos,"Em meio ao coronavirus, acho que é um bom momento para incentivamos a saudação Wakanda como cumprimento universal. ",,
1238840284315877382,2020-03-14 14:51:54+00:00,killuhara,o corona vírus que o que é que o que aconteceu no passado obscuro da pra gente conversar sobre isso,,
