data,titulo,ticks
2020-01-21,2,1
2020-01-22,4,2
2020-01-23,3,3
2020-01-24,9,4
2020-01-25,5,5
2020-01-26,4,6
2020-01-27,5,7
2020-01-28,8,8
2020-01-29,15,9
2020-01-30,12,10
2020-01-31,12,11
2020-02-01,68,12
2020-02-02,74,13
2020-02-03,80,14
2020-02-04,90,15
2020-02-05,93,16
2020-02-06,97,17
2020-02-07,97,18
2020-02-08,101,19
2020-02-09,105,20
2020-02-10,108,21
2020-02-11,111,22
2020-02-12,115,23
2020-02-13,124,24
2020-02-14,131,25
2020-02-15,124,26
2020-02-16,130,27
2020-02-17,132,28
2020-02-18,136,29
2020-02-19,138,30
2020-02-20,135,31
2020-02-21,138,32
2020-02-22,140,33
2020-02-23,150,34
2020-02-24,161,35
2020-02-25,164,36
2020-02-26,174,37
2020-02-27,175,38
2020-02-28,183,39
2020-02-29,169,40
2020-03-01,177,41
2020-03-02,179,42
2020-03-03,186,43
2020-03-04,192,44
2020-03-05,176,45
2020-03-06,184,46
2020-03-07,181,47
2020-03-08,173,48
2020-03-09,204,49
2020-03-10,232,50
2020-03-11,228,51
2020-03-12,263,52
2020-03-13,259,53
2020-03-14,255,54
2020-03-15,240,55
2020-03-16,303,56
2020-03-17,276,57
2020-03-18,315,58
2020-03-19,322,59
2020-03-20,387,60
2020-03-21,300,61
2020-03-22,244,62
2020-03-23,361,63
2020-03-24,423,64
2020-03-25,315,65
2020-03-26,465,66
2020-03-27,442,67
2020-03-28,322,68
2020-03-29,245,69
2020-03-30,343,70
2020-03-31,418,71
2020-04-01,433,72
2020-04-02,277,73
2020-04-03,416,74
2020-04-04,332,75
2020-04-05,293,76
2020-04-06,270,77
2020-04-07,456,78
2020-04-08,300,79
2020-04-09,305,80
2020-04-10,372,81
2020-04-11,282,82
2020-04-12,275,83
2020-04-13,359,84
2020-04-14,273,85
2020-04-15,462,86
2020-04-16,294,87
2020-04-17,278,88
2020-04-18,330,89
2020-04-19,262,90
2020-04-20,277,91
2020-04-21,285,92
2020-04-22,294,93
2020-04-23,290,94
2020-04-24,294,95
2020-04-25,346,96
2020-04-26,286,97
2020-04-27,269,98
2020-04-28,261,99
2020-04-29,294,100
2020-04-30,266,101
2020-05-01,366,102
2020-05-02,303,103
2020-05-03,290,104
2020-05-04,270,105
2020-05-05,414,106
2020-05-06,269,107
2020-05-07,263,108
2020-05-08,267,109
2020-05-09,320,110
2020-05-10,223,111
2020-05-11,316,112
2020-05-12,384,113
2020-05-13,261,114
2020-05-14,417,115
2020-05-15,260,116
2020-05-16,282,117
2020-05-17,206,118
2020-05-18,331,119
2020-05-19,352,120
2020-05-20,364,121
2020-05-21,379,122
2020-05-22,319,123
2020-05-23,221,124
2020-05-24,270,125
2020-05-25,280,126
2020-05-26,249,127
2020-05-27,261,128
2020-05-28,280,129
2020-05-29,278,130
2020-05-30,281,131
2020-05-31,217,132
2020-06-01,216,133
2020-06-02,215,134
2020-06-03,230,135
2020-06-04,289,136
2020-06-05,207,137
2020-06-06,236,138
2020-06-07,215,139
2020-06-08,208,140
2020-06-09,214,141
2020-06-10,225,142
2020-06-11,241,143
2020-06-12,226,144
2020-06-13,191,145
2020-06-14,202,146
2020-06-15,197,147
2020-06-16,205,148
2020-06-17,209,149
2020-06-18,201,150
2020-06-19,208,151
2020-06-20,215,152
2020-06-21,194,153
2020-06-22,213,154
2020-06-23,224,155
2020-06-24,247,156
2020-06-25,264,157
2020-06-26,269,158
2020-06-27,200,159
2020-06-28,221,160
2020-06-29,228,161
2020-06-30,229,162
2020-07-01,49,163
2020-07-02,37,164
2020-07-03,37,165
2020-07-04,19,166
2020-07-05,23,167
2020-07-06,30,168
2020-07-07,39,169
2020-07-08,37,170
2020-07-09,41,171
2020-07-10,38,172
2020-07-11,19,173
2020-07-12,16,174
2020-07-13,27,175
2020-07-14,38,176
2020-07-15,37,177
2020-07-16,35,178
2020-07-17,37,179
2020-07-18,17,180
2020-07-19,12,181
2020-07-20,31,182
2020-07-21,33,183
2020-07-22,29,184
2020-07-23,23,185
2020-07-24,25,186
2020-07-25,17,187
2020-07-26,11,188
2020-07-27,34,189
2020-07-28,19,190
