data,titulo,ticks
2020-01-26,27,1
2020-02-02,194,2
2020-02-09,663,3
2020-02-16,843,4
2020-02-23,969,5
2020-03-01,1203,6
2020-03-08,1271,7
2020-03-15,1681,8
2020-03-22,2147,9
2020-03-29,2573,10
2020-04-05,2512,11
2020-04-12,2260,12
2020-04-19,2258,13
2020-04-26,2072,14
2020-05-03,2049,15
2020-05-10,2026,16
2020-05-17,2126,17
2020-05-24,2236,18
2020-05-31,1846,19
2020-06-07,1608,20
2020-06-14,1507,21
2020-06-21,1429,22
2020-06-28,1638,23
2020-07-05,622,24
2020-07-12,220,25
2020-07-19,203,26
2020-07-26,169,27
2020-08-02,53,28
