id,date,username,text,hashtag,geo
1261007810206355456,2020-05-14 18:57:45+00:00,KimberlyG17,"#14Maio | #Coronavirus Relatório da DGS, Direção Geral da Saúde, do dia de hoje #COVID19PT",#14Maio #Coronavirus #COVID19PT,
1261006922733543426,2020-05-14 18:54:13+00:00,KimberlyG17,"#14Maio | #Coronavirus 28.319 o número de casos confirmados e 1.184 óbitos em #Portugal, revela o boletim desta quinta-feira #COVID19PT",#14Maio #Coronavirus #Portugal #COVID19PT,
1261003166839119875,2020-05-14 18:39:17+00:00,MmmaryCampos,"Kkkk aiai To que nem o Emílio Surita, dois assuntos que não aguento mais; Política e Corona Vírus. Chega ",,
1260938969774272512,2020-05-14 14:24:12+00:00,carlosazevedo99,Este ano tava com expectativas de fazer + e melhor e coronavírus fucked me,,
1260926188412862465,2020-05-14 13:33:24+00:00,DJPonttes," Cuidando da minha prima vtrpontes no famoso hotdog de Cascais, Junho 1994. #djponttes #igers #tbt #coronavirus #fiqueemcasa #salvador #dj #djlife #hotdogcascais #emcasa #stayathome #música #music #bahia… https://www.instagram.com/p/CAK4tGOgGYt/?igshid=1hd881k88cb3h",#djponttes #igers #tbt #coronavirus #fiqueemcasa #fiqueemcasa #salvador #dj #djlife #hotdogcascais #emcasa #stayathome #stayathome #m #music #bahia,
1260896605982449664,2020-05-14 11:35:51+00:00,charliecfm," MY NEW GIRLS AT HOME . Depois das obras começou o processo de (re)decoração das divisões, que está atrasado com isto tudo do Corona Vírus, mas depois prometo mostrar tudo! . Outro dos objectivos para esta nova… https://www.instagram.com/p/CAKrP9QHMkx/?igshid=t0uyre6jkmrb",,
1260875653441863681,2020-05-14 10:12:36+00:00,luafuk,"A língua é uma coisa viva e o acordês é uma língua morta, foi ferida por um vírus pior nos seus efeitos sociais e culturais do que o corona vírus.",,
1260861587029741568,2020-05-14 09:16:42+00:00,DuarteMarques,"A #Helpo reabilitou a sala de pediatria do Hospital da Ilha de Moçambique, para internamento exclusivo de pacientes de COVID-19. Este necessidade foi levantada quando, no passado mês, ali entregámos material de desinfeção e proteção individual para o coronavirus. ",#Helpo,
1260784165819224065,2020-05-14 04:09:04+00:00,MiguelMartinho7,"A Liga Italiana está de volta. E vai reiniciar a 13 de Junho, que será a data prevista para o reinício. #SerieA #STOPCOVID19 #COVID2019 #FicaEmCasa #Coronavirus ",#SerieA #STOPCOVID19 #COVID2019 #FicaEmCasa #FicaEmCasa #Coronavirus,
1260666361703026690,2020-05-13 20:20:57+00:00,SanchaTrindade,13 de Maio 2020. Fim de tarde mágico numa Lisboa apocalíptica nas stories. . #reconnect #takecare #stayhome #reset #gratitude #gratefull #newworld #covid19 #corona #virus #coronavirus #humanity #humbleness… https://www.instagram.com/p/CAJCJhXBehr/?igshid=148w88gfh62iq,#reconnect #takecare #stayhome #stayhome #reset #gratitude #gratitude #gratefull #newworld #covid19 #corona #virus #coronavirus #humanity #humbleness,
1260543103003394049,2020-05-13 12:11:10+00:00,pedrosizavieira,"Quase dois meses após a paragem devido ao surto de #coronavírus, a Autoeuropa retomou a sua produção. Hoje, com o Primeiro-ministro, @antoniocostapm, e o Presidente da República, Marcelo Rebelo de Sousa, visitamos as instalações, assinalando a retoma da atividade. #XXIIGoverno – at Autoeuropa",#coronav #XXIIGoverno,
