,date,text,hashtags,id
0,2020-03-19 23:46:14,hoje o meu obrigado vai para o excelente trabalho que os jornalistas estao a fazer durante este problema da covid19 na televisao na radio nos jornais no online todos tem contribuido ficaemcasa covid19 coronavirus obrigado visuais upsideup portugal,#FicaEmCasa #FicaEmCasa #Covid19 #coronavirus #obrigado #obrigado #visuais #upsideup #Portugal,1240786692505849863
1,2020-03-19 23:40:47,seguimos firmes na quarentena se nos estamos conseguindo voce tambem dara conta de ficar em casa sossega o facho quarentena sossegaofacho coronavirus em quarentena ,#quarentena #sossegaofacho #coronavirus,1240785320184078337
2,2020-03-19 22:59:08,coronavirus tracou ano de 2020 sem nenhuma oposicao ,,1240774837330640903
3,2020-03-19 22:11:55,a imagem impressionante do telao do aeroporto de lisboa ontem apenas 32 partidas 3 para o brasil em um painel que comporta 125 voos coronavirus coronavirusportugal coronaviruspt covid19 ,#coronavirus #Coronavirusportugal #coronaviruspt #COVID19,1240762956960411648
4,2020-03-19 21:40:23,nao estou muito preocupado com o coronavirus ja peguei coisa muito pior e ainda chamei de amor,,1240755020674588674
5,2020-03-19 21:14:19,a china esta a mais de 24 horas sem casos registados por coronavirus este sim e uma boa noticia finalmente comecamos a superar isto,,1240748461324218368
6,2020-03-19 20:05:50,o n de infectados por coronavirus em portugal chegou a 785 crescimento de 22 em relacao a ontem uma queda comparada com boletins anteriores a maioria dos doentes esta em casa isso mostra que quanto antes o isolamento comecar menos pessoas doentes 4 pessoas morreram,#coronavirus #Portugal,1240731226387943424
8,2020-03-19 19:59:04,euficoemcasa sintra coronavirus portugal em covasrio de mouro ,#euficoemcasa #euficoemcasa #sintra #coronavirus #portugal,1240729523584471040
9,2020-03-19 19:07:34,em vez de voces ficarem me enviando noticias ruins sobre o corona virus me enviem nudes brinks ,,1240716560727244801
10,2020-03-19 18:53:41,hoje ja tomei cha e tomei sopa coisas que nao me recordo a ultima vez que fiz na vida e essa porra de corona virus e seria,,1240713066519527424
11,2020-03-19 18:24:30,nao so o cancelamento do grande premio do monaco mas tambem ha 2 grandes premios em formula 1 que foram adiados por coronavirus neste caso o gp da holanda e o gp de espanha mais um ataque de covid19 f1 f170 covid19 stopcovid19 coronavirus ,#F1 #F170 #COVID19 #StopCOVID19 #Coronavirus,1240705723853500416
12,2020-03-19 18:14:09,cancelaram o grande premio do monaco em formula 1 pela primeira vez em 66 anos gracas a um surto de coronavirus mas foi de esperar monacogp covid19 coronavirus f1 f170 covid2019 stopcovid19,#MonacoGP #COVID19 #Coronavirus #F1 #F170 #COVID2019 #StopCOVID19,1240703118465097729
14,2020-03-19 16:47:14,nao sou corona virus mas to afim de te pegar,,1240681246939897862
15,2020-03-19 15:51:56,nao to falando pra ninguem parar de fazer piada meme ou o que for sobre o corona virus so pelo amor de deus faz isso nos proximos 15 dias 247 de dentro da sua casa que ta tudo certinho,,1240667327496151047
16,2020-03-19 15:42:20,no ar no canal vamu ver no youtube  covid19 coronavirus estadodeemergencia portugal aposentadosemportugal portugal em portugal ,#covid19 #coronavirus #estadodeemergencia #portugal #aposentadosemportugal #Portugal,1240664911530909697
19,2020-03-19 14:53:22,seja um agente de saude publica mantenha o distanciamento social para questoes de saude consulte para mais informacoes aceda estamoson covid19 coronavirus ,#estamoson #covid19 #coronavirus,1240652590179848193
22,2020-03-19 12:28:37,slc acabei de acordar e recebo uma carta da empresa q eu trampo fui ler e logo vi q tava na rua kkkkkk eu literalmente ri mas depois eu li dnv afinal to no layoff so valeu corona virus ,,1240616162620252161
23,2020-03-19 11:54:04,brasil ja esta com 4 mortos pelo coronavirus o numero so esta a aumentar e o idiota do presidente continua a persistir em falar que nao e nada demais fdp ignorante,,1240607469279367169
27,2020-03-19 10:58:57,estamos todos juntos juntos somos fortes vamos ser positivos forca mundo aliashouse imobiliaria coronavirus mundomelhor juntossomosfortes em cascais ,#aliashouse #imobiliaria #coronavirus #mundomelhor #juntossomosfortes,1240593597789077509
28,2020-03-19 10:56:58,no fundo o coronavirus veio destruir o capitalismo ou fazernos ver que este sistema nao esta pronto para cataclismos destes,,1240593097786036224
29,2020-03-19 10:08:58,melhor reposta de sempre coronavirus ,#coronavirus,1240581017267732480
30,2020-03-19 10:06:51,conselho de ministros era para comecar as 930 ja passa das 1000 e nada ja estamos a ficar habituados ao coronavirus e esta a voltar tudo a normalidade nem foi preciso o estado de emergencia ser aplicado,,1240580487221071873
31,2020-03-19 06:41:12,bom dia meus amigos o momento e de cooperacao vamos saber identificar os sintomas via  covid19 coronavirus em portugal ,#covid19 #coronavirus,1240528731556413440
32,2020-03-19 01:12:32,ja viste o terceiro episodio de pandemia sim aquele corona virus e mesmo parecido com este heineken virus despedemse com o habitual toque de cotovelo,,1240446019537600512
33,2020-03-19 00:56:18,eramos seis 2019 novelas das 6 sao meu fraco essa e a quarta adaptacao pra tv do livro de maria jose dupret e a mais contemporanea ta no finzinho e vai ser a unica producao que a globo nao vai interromper por conta do coronavirus ja que esta completamente finalizada ,,1240441935283830784
34,2020-03-19 00:46:22,ao contrario do que dizem os presidentes do brasil e dos eua a maior ameaca do corona virus nao sao os estrangeiros sao mesmo os presidentes,,1240439437064130560
35,2020-03-19 00:20:49,se voce parar pra pensar mesmo a serio o coronavirus e so a ponta do iceberg posso estar errado mas se oque eu tenho pensado for de fato real vai da muitaaa merda ainda ,,1240433005853802497
36,2020-03-18 23:52:03,corona virus que lute ,,1240425766074155009
37,2020-03-18 23:33:20,caga estas dores de costas e que vao ser o meu fim corona virus got nothing on this back pain,,1240421058085339139
38,2020-03-18 23:23:42,esse corona virus nem durou nada e ja tem vacina af ,,1240418632661970950
39,2020-03-18 23:20:32, jesus como sempre jesus sempre vence   vence o coronavirus e seu terceiro exame atestou negativo para o maldito obrigado senhor obrigado deus obrigado saojudastadeu em lisboa ,#JESUS #JESUS #VENCE #Coronavirus #Negativo #maldito #SENHOR #DEUS #S,1240417833470685185
40,2020-03-18 23:06:18,jj deu negativo no teste do corona virus feito hoje gracas a deus,,1240414251593891841
41,2020-03-18 22:45:10,coronavirus  mais de 80 dos infetados esta a recuperar em casa  seria importante compreender pq razao o virus e tao agressivo com uns e menos com outros alguem pode elucidar  sistema imunologico mais forte mais fraco  aos profissionais de saude,#coronavirus,1240408936462852096
